OL;OR;UR;UL
37.9831006,23.730369;37.983088, 23.730478;37.982251, 23.731193;37.982218,23.731179
37.983088, 23.730478;37.983107, 23.730513;37.982264, 23.731223;37.982251, 23.731193
37.983107, 23.730513;37.983120, 23.730541;37.982281, 23.731248;37.982264, 23.731223
37.983120, 23.730541;37.983138, 23.730575;37.982295, 23.731282;37.982281, 23.731248
37.983138, 23.730575;37.983261,23.730715;37.982332,23.731437;37.982295, 23.731282
