OL;OR;UR;UL
37.982568,23.729328;37.982615, 23.729382;37.981990, 23.729906;37.981978,23.729825
37.982615, 23.729382;37.982632, 23.729413;37.982001, 23.729944;37.981990, 23.729906
37.982632, 23.729413;37.982645,23.729507;37.98205,23.730014;37.982001, 23.729944
