OL;OR;UR;UL
37.988612,23.730365;37.988608, 23.730430;37.987670, 23.730202;37.987685,23.730157
37.988608, 23.730430;37.988603, 23.730462;37.987664, 23.730232;37.987670, 23.730202
37.988603, 23.730462;37.988597, 23.730494;37.987659, 23.730266;37.987664, 23.730232
37.988597, 23.730494;37.988585, 23.730539;37.987662, 23.730315;37.987659, 23.730266
